"modelName","productId","priceText","variantCount","buyUrl"
"Xiaomi 15","20618","3599元起","5","https://www.mi.com/shop/buy?product_id=20618"
"Xiaomi 17 Ultra","22422","6999元起","3","https://www.mi.com/shop/buy?product_id=22422"
"Xiaomi 15 Pro","20603","4999元起","3","https://www.mi.com/shop/buy?product_id=20603"
"Xiaomi 15 Ultra","20982","5499元起","5","https://www.mi.com/shop/buy?product_id=20982"
"Xiaomi 17 Ultra 徕卡版","22423","7999元起","2","https://www.mi.com/shop/buy?product_id=22423"
"Xiaomi 17","21931","4299元起","4","https://www.mi.com/shop/buy?product_id=21931"
"Xiaomi 17 Pro Max","21936","5999元起","3","https://www.mi.com/shop/buy?product_id=21936"
"Xiaomi 17 Pro","21932","4999元起","4","https://www.mi.com/shop/buy?product_id=21932"
"Xiaomi 15 定制版","20609","4099元起","2","https://www.mi.com/shop/buy?product_id=20609"
"Xiaomi 15S Pro","21305","5499元起","2","https://www.mi.com/shop/buy?product_id=21305"
"Xiaomi 14 Ultra","19683","4499元起","4","https://www.mi.com/shop/buy?product_id=19683"
"Xiaomi 14 Pro","19288","4599元起","4","https://www.mi.com/shop/buy?product_id=19288"
"Xiaomi 13 Ultra 限量定制色","18443","5899元起","1","https://www.mi.com/shop/buy?product_id=18443"
